Season,Site,CoreName,CoreNo,uM_NOx,uM_NH3,uM_PO4,uM_TN,uM_ON
Winter,NOAA,HO,1,0.008571429,5.907142857,0.348387097,19.07142857,13.15571429
Winter,NOAA,HO,2,0.122857143,4.471428571,0.246774194,12.64285714,8.048571429
Winter,NOAA,HO,3,0.042071429,3.328571429,0.341935484,10.71428571,7.343642857
Winter,NOAA,LM,1,0.102142857,11.57142857,0.222903226,19.92857143,8.255
Winter,NOAA,LM,2,0.010857143,1.778571429,0.229677419,7.142857143,5.353428571
Winter,NOAA,LM,3,0.167857143,10.5,0.228064516,18.28571429,7.617857143
Winter,NOAA,MM,1,0.011928571,8.571428571,0.266774194,19.57142857,10.98807143
Winter,NOAA,MM,2,0.018785714,10.92857143,0.242258065,19.28571429,8.338357143
Winter,NOAA,MM,3,0,2.971428571,0.242580645,11,8.105
Winter,NOAA,HM,1,0.037357143,9.5,0.243870968,14.28571429,4.748357143
Winter,NOAA,HM,2,0,1.664285714,0.338709677,11.5,9.842792857
Winter,NOAA,HM,3,0.060142857,0.885714286,0.212903226,7.642857143,6.697
Winter,NOAA,Ref,1,0.198571429,7.785714286,0.278709677,15.42857143,7.444285714
Winter,NOAA,Ref,2,0.139285714,2.235714286,0.27,12.21428571,9.839285714
Winter,NOAA,Ref,3,0,5.257142857,0.237419355,14,8.778714286
Winter,NOAA,LoRef,1,0.041142857,1.735714286,0.269677419,15.28571429,13.50885714
Winter,NOAA,HiRef,1,0.114285714,4.028571429,0.293225806,18,13.85714286
Spring,NOAA,In1,1,0.157142857,3.614285714,0.302258065,18.35714286,14.58571429
Spring,NOAA,In2,1,0.203571429,4.035714286,0.273225806,17,12.76071429
Spring,NOAA,LO,1,0.038285714,8.714285714,0.184193548,15.92857143,7.176
Spring,NOAA,LO,2,-0.003328571,2.471428571,0.228387097,10.92857143,8.460471429
Spring,NOAA,LO,3,0.107857143,22.78571429,0.25516129,34.14285714,11.24928571
Spring,NOAA,HO,1,0,3.014285714,0.270645161,13.35714286,10.34875
Spring,NOAA,HO,2,0.008785714,2.728571429,0.243225806,11.85714286,9.119785714
Spring,NOAA,HO,3,0.033714286,3.307142857,0.175806452,11.92857143,8.587714286
Spring,NOAA,LM,1,0.052857143,7.857142857,0.318709677,19.78571429,11.87571429
Spring,NOAA,LM,2,0.00405,2.435714286,0.348387097,12.64285714,10.20309286
Spring,NOAA,LM,3,0,1.342857143,0.361290323,12.57142857,11.24964286
Spring,NOAA,MM,1,0.068714286,1.271428571,0.248387097,11.78571429,10.44557143
Spring,NOAA,MM,2,0,1,0.470967742,11.78571429,10.8135
Spring,NOAA,MM,3,0,1.121428571,0.249032258,10.57142857,9.459571429
Spring,NOAA,HM,1,0.055428571,3.3,0.208387097,12.14285714,8.787428571
Spring,NOAA,HM,2,0,3.328571429,0.200322581,13.21428571,9.897214286
Spring,NOAA,HM,3,0,4.235714286,0.332258065,12.14285714,7.978357143
Spring,NOAA,Ref,1,0,1.628571429,0.209677419,10.14285714,8.551428571
Spring,NOAA,Ref,2,0.036071429,4.185714286,0.21483871,14.42857143,10.20678571
Spring,NOAA,Ref,3,0,1.128571429,0.239032258,9.642857143,8.527142857
Summer,Army,In1,1,0,3.164285714,0.149677419,11.78571429,8.621428571
Summer,Army,In2,1,0,1.921428571,0.212258065,20.07142857,18.15
Summer,Army,LO,1,0,0.301428571,0.219677419,10.78571429,10.48428571
Summer,Army,LO,2,0,6.992857143,0.190967742,20,13.00714286
Summer,Army,LO,3,0,4.035714286,0.200645161,14.57142857,10.53571429
Summer,Army,HO,1,0,1.135714286,0.232258065,11,9.864285714
Summer,Army,HO,2,0,0.735714286,0.162580645,10.64285714,9.907142857
Summer,Army,HO,3,0,5.485714286,0.157419355,18.57142857,13.08571429
Summer,Army,LM,1,0,5.814285714,0.606451613,18.14285714,12.32857143
Summer,Army,LM,2,0.08,2.592857143,0.4,14.42857143,11.75571429
Summer,Army,LM,3,0,0.807142857,0.348387097,14.64285714,13.83571429
Summer,Army,MM,1,0,1.085714286,0.351612903,27.57142857,26.48571429
Summer,Army,MM,2,0,1.192857143,0.351612903,18.35714286,17.16428571
Summer,Army,MM,3,0,1.085714286,0.370967742,13.5,12.41428571
Summer,Army,HM,1,0,0.71,0.374193548,17.71428571,17.00428571
Summer,Army,HM,2,0,4.678571429,0.196451613,36.28571429,31.60714286
Summer,Army,HM,3,0,1.385714286,0.230967742,21.28571429,19.9
Summer,Army,Ref,1,0,1.492857143,0.236451613,40.07142857,38.57857143
Summer,Army,Ref,2,0,1.021428571,0.193870968,13.14285714,12.12142857
Summer,Army,Ref,3,0,0.764285714,0.212258065,14,13.23571429
Fall,Army,In1,1,0,0.685714286,0.316774194,16.35714286,15.67142857
Fall,Army,In2,1,0.383571429,1.007142857,0.167096774,19.28571429,17.895
Fall,Army,LO,1,0.102857143,0.928571429,0.157419355,16.14285714,15.11142857
Fall,Army,LO,2,0,1.071428571,0.192258065,16.85714286,15.78571429
Fall,Army,LO,3,0,0.457857143,0.196451613,18,17.54214286
Fall,Army,HO,1,0,0.935714286,0.187419355,16.28571429,15.35
Fall,Army,HO,2,0,0.34,0.435483871,20.21428571,19.87428571
Fall,Army,HO,3,0,0.473571429,0.170967742,17.57142857,17.09785714
Fall,Army,LM,1,0,0.842857143,0.143225806,19.28571429,18.44285714
Fall,Army,LM,2,0,1.371428571,0.169677419,15.14285714,13.77142857
Fall,Army,LM,3,0,0.914285714,0.256451613,16.14285714,15.22857143
Fall,Army,MM,1,0,0.287142857,0.226129032,16.71428571,16.42714286
Fall,Army,MM,2,0.202142857,4.392857143,0.190322581,21.57142857,16.97642857
Fall,Army,MM,3,0,0.489285714,0.165806452,15.78571429,15.29642857
Fall,Army,HM,1,0.222857143,5.864285714,0.288387097,22.42857143,16.34142857
Fall,Army,HM,2,0.067214286,1.771428571,0.31483871,20.14285714,18.30421429
Fall,Army,HM,3,0.155,2.278571429,0.210322581,20,17.56642857
Fall,Army,Ref,1,0.317857143,1.214285714,0.275806452,20.78571429,19.25357143
Fall,Army,Ref,2,0.063142857,1.378571429,0.177741935,18.42857143,16.98685714
Fall,Army,Ref,3,0.184285714,1.178571429,0.199032258,18.28571429,16.92285714
Winter,Army,In1,1,0.778571429,17.14285714,0.416129032,26.85714286,8.935714286
Winter,Army,In2,1,0.405714286,6.4,0.290645161,18.35714286,11.55142857
Winter,Army,LO,1,0.778571429,12.35714286,0.235806452,20.64285714,7.507142857
Winter,Army,LO,2,0.771428571,20.07142857,0.256451613,24.64285714,3.8
Winter,Army,LO,3,0.666428571,12,0.238387097,14.71428571,2.047857143
Winter,Army,HO,1,0.609285714,4.678571429,0.233870968,15.5,10.21214286
Winter,Army,HO,2,0.466428571,6.385714286,0.289032258,19.57142857,12.71928571
Winter,Army,HO,3,0.551428571,2.207142857,0.226451613,15.5,12.74142857
Winter,Army,LM,1,0.618571429,3.271428571,0.222258065,14.14285714,10.25285714
Winter,Army,LM,2,0.700714286,13,0.209032258,21.71428571,8.013571429
Winter,Army,LM,3,0.618571429,12.71428571,0.271612903,24.14285714,10.81
Winter,Army,MM,1,0.553571429,7.857142857,0.29483871,21.35714286,12.94642857
Winter,Army,MM,2,0.572857143,12.5,0.253548387,23.5,10.42714286
Winter,Army,MM,3,0.46,6.678571429,0.25483871,17.07142857,9.932857143
Winter,Army,HM,1,0.425714286,6.392857143,0.26516129,18.35714286,11.53857143
Winter,Army,HM,2,0.512142857,14.64285714,0.29,26.21428571,11.05928571
Winter,Army,HM,3,0.575714286,3.435714286,0.305806452,15.71428571,11.70285714
Winter,Army,Ref,1,0.778571429,19.07142857,0.310322581,30.28571429,10.43571429
Winter,Army,Ref,2,0.764285714,7.092857143,0.290645161,17.78571429,9.928571429
Winter,Army,Ref,3,0.553571429,8.571428571,0.308709677,19.42857143,10.30357143
Winter,Army,LoRef,1,0.651428571,13.64285714,0.377419355,25.78571429,11.49142857
Winter,Army,HiRef,1,0.698571429,18.28571429,0.3,30.92857143,11.94428571
Spring,Army,In1,1,0.010642857,1.664285714,0.306451613,13.78571429,12.11078571
Spring,Army,In2,1,0.237142857,3.207142857,0.425806452,22.92857143,19.48428571
Spring,Army,LO,1,0,1.664285714,0.167419355,11.92857143,10.37357143
Spring,Army,LO,2,0,3.55,0.210967742,15,11.50257143
Spring,Army,LO,3,0,2.228571429,0.189032258,13.71428571,11.52342857
Spring,Army,HO,1,0,1.342857143,0.176129032,12.42857143,11.13957143
Spring,Army,HO,2,0,1.564285714,0.179677419,12.5,10.99785714
Spring,Army,HO,3,0,0.892857143,0.224516129,11.92857143,11.07721429
Spring,Army,LM,1,0.047928571,1.914285714,0.181935484,13.42857143,11.46635714
Spring,Army,LM,2,0.144285714,2.014285714,0.538709677,12.5,10.34142857
Spring,Army,LM,3,0.071428571,2.728571429,0.199677419,14.28571429,11.48571429
Spring,Army,MM,1,0,4.257142857,0.236774194,17,12.84142857
Spring,Army,MM,2,0,3.364285714,0.230322581,15.28571429,12.00071429
Spring,Army,MM,3,0,2.814285714,0.221290323,14.42857143,11.66414286
Spring,Army,HM,1,0,2.35,0.208064516,13.35714286,11.11642857
Spring,Army,HM,2,0,1.307142857,0.182903226,14.78571429,13.59357143
Spring,Army,HM,3,0,2.3,0.197741935,17.42857143,15.16342857
Spring,Army,Ref,1,0,2.378571429,0.201935484,15.42857143,13.09535714
Spring,Army,Ref,2,0,2.528571429,0.211290323,14.35714286,11.85392857
Spring,Army,Ref,3,0,2.721428571,0.21483871,16.92857143,14.30714286
