Season,Site,CoreName,CoreNo,TimePt,conc_O2
Fall,Army,HO,1,1,6.295792257
Fall,Army,HO,2,1,6.001102625
Fall,Army,HO,3,1,5.876247682
Fall,Army,LM,1,1,6.114777851
Fall,Army,LM,2,1,5.605236939
Fall,Army,LM,3,1,6.349066919
Fall,Army,MM,1,1,6.021029927
Fall,Army,MM,2,1,5.035484506
Fall,Army,MM,3,1,6.266746669
Fall,Army,HM,1,1,5.177280371
Fall,Army,HM,2,1,6.511544028
Fall,Army,HM,3,1,5.172311682
Fall,Army,Ref,1,1,6.284969957
Fall,Army,Ref,2,1,5.989492199
Fall,Army,Ref,3,1,5.813329867
Fall,Army,LoRef,1,1,6.164626536
Fall,Army,HiRef,1,1,6.101334335
Fall,Army,LO,1,2,6.489123254
Fall,Army,LO,2,2,6.201358899
Fall,Army,LO,3,2,6.062408836
Fall,Army,HO,1,2,6.318929821
Fall,Army,HO,2,2,6.300716859
Fall,Army,HO,3,2,5.982091343
Fall,Army,LM,1,2,6.268335943
Fall,Army,LM,2,2,6.257566816
Fall,Army,LM,3,2,6.5393682
Fall,Army,MM,1,2,5.965063321
Fall,Army,MM,2,2,5.587585903
Fall,Army,MM,3,2,6.125261551
Fall,Army,HM,1,2,5.398036921
Fall,Army,HM,2,2,5.987292155
Fall,Army,HM,3,2,4.920495961
Fall,Army,Ref,1,2,6.52846725
Fall,Army,Ref,2,2,6.04993134
Fall,Army,Ref,3,2,5.919741049
Fall,Army,LoRef,1,2,6.384560292
Fall,Army,HiRef,1,2,6.017644469
Fall,Army,LO,1,3,6.399612047
Fall,Army,LO,2,3,6.163957189
Fall,Army,LO,3,3,6.040460675
Fall,Army,HO,1,3,6.17029438
Fall,Army,HO,2,3,6.147207365
Fall,Army,HO,3,3,5.793204923
Fall,Army,LM,1,3,6.059629517
Fall,Army,LM,2,3,6.006657057
Fall,Army,LM,3,3,6.113314899
Fall,Army,MM,1,3,5.560636887
Fall,Army,MM,2,3,5.231292731
Fall,Army,MM,3,3,6.008327169
Fall,Army,HM,1,3,5.123759208
Fall,Army,HM,2,3,5.864396417
Fall,Army,HM,3,3,4.93264396
Fall,Army,Ref,1,3,6.32499097
Fall,Army,Ref,2,3,6.084742962
Fall,Army,Ref,3,3,5.977829234
Fall,Army,LoRef,1,3,6.064478466
Fall,Army,HiRef,1,3,6.298922743
Winter,IMS,LO,1,1,8.912908878
Winter,IMS,LO,2,1,8.927473524
Winter,IMS,LO,3,1,8.814583887
Winter,IMS,HO,1,1,8.941654853
Winter,IMS,HO,2,1,8.94783158
Winter,IMS,HO,3,1,8.900959871
Winter,IMS,MM,1,1,8.050964359
Winter,IMS,MM,2,1,8.231305632
Winter,IMS,MM,3,1,8.858539656
Winter,IMS,Ref,1,1,8.876988707
Winter,IMS,Ref,2,1,8.854356119
Winter,IMS,Ref,3,1,8.795550365
Winter,IMS,LoRef,1,1,8.945681153
Winter,IMS,HiRef,1,1,8.25001004
Winter,IMS,LO,1,2,8.874092919
Winter,IMS,LO,2,2,8.942535342
Winter,IMS,LO,3,2,8.84111103
Winter,IMS,HO,1,2,8.979893441
Winter,IMS,HO,2,2,8.980140832
Winter,IMS,HO,3,2,8.915148418
Winter,IMS,MM,1,2,8.15451843
Winter,IMS,MM,2,2,8.345857604
Winter,IMS,MM,3,2,8.909784996
Winter,IMS,Ref,1,2,8.869364322
Winter,IMS,Ref,2,2,8.890455232
Winter,IMS,Ref,3,2,8.849926755
Winter,IMS,LoRef,1,2,9.02074361
Winter,IMS,HiRef,1,2,8.326611334
Winter,IMS,LO,1,3,8.955431511
Winter,IMS,LO,2,3,8.974452452
Winter,IMS,LO,3,3,8.895724769
Winter,IMS,HO,1,3,9.003738065
Winter,IMS,HO,2,3,8.985542886
Winter,IMS,HO,3,3,8.970463636
Winter,IMS,MM,1,3,8.094481044
Winter,IMS,MM,2,3,8.435152654
Winter,IMS,MM,3,3,8.934909568
Winter,IMS,Ref,1,3,8.883496066
Winter,IMS,Ref,2,3,8.913679388
Winter,IMS,Ref,3,3,8.892810002
Winter,IMS,LoRef,1,3,9.018124717
Winter,IMS,HiRef,1,3,8.33837582
Winter,IMS,LO,1,4,8.932807268
Winter,IMS,LO,2,4,8.927814525
Winter,IMS,LO,3,4,8.907556042
Winter,IMS,HO,1,4,8.94547935
Winter,IMS,HO,2,4,8.96137586
Winter,IMS,HO,3,4,8.929317776
Winter,IMS,MM,1,4,8.141012297
